id,name,image_url,url,review_count,rating,price,latitude,longitude,address1,address2,address3,city,state,zip_code,phone,compliant,_merge
14BLy22t6EKuPO5aAQ6R8g,Just Salad,https://s3-media2.fl.yelpcdn.com/bphoto/NHTe_4NV0WJNw-Uwt-C50A/o.jpg,https://www.yelp.com/biz/just-salad-new-york-34?adjust_creative=8JX6jG3ozuS17CJIXZZBLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=8JX6jG3ozuS17CJIXZZBLQ,115,3.5,$,40.7127085525626,-74.0084012669113,233 Broadway,,,New York,NY,10279,+12122441111,,left_only
ejZjFbR_Z3He5pi699eJKg,Birch Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/prVCcWpWBsU657KVbKhr2w/o.jpg,https://www.yelp.com/biz/birch-coffee-new-york-10?adjust_creative=8JX6jG3ozuS17CJIXZZBLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=8JX6jG3ozuS17CJIXZZBLQ,71,4.0,$$,40.71084,-74.005672,8 Spruce St,,,New York,NY,10038,+12126861444,,left_only
K7c1bkgmmdiTcsQ5afGFNQ,W XYZ Bar,https://s3-media1.fl.yelpcdn.com/bphoto/lgOsvjndmAscI3J3MuD3zw/o.jpg,https://www.yelp.com/biz/w-xyz-bar-new-york-2?adjust_creative=8JX6jG3ozuS17CJIXZZBLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=8JX6jG3ozuS17CJIXZZBLQ,1,5.0,$$,40.71035,-74.00679,49-53 Ann St,,,New York,NY,10038,+12125130003,,left_only
t4B9GkAuiYIjFCt9SlK3EQ,Poke Bowl,https://s3-media1.fl.yelpcdn.com/bphoto/K7cT2Dzbp2ZE2GJ2hbNm7g/o.jpg,https://www.yelp.com/biz/poke-bowl-new-york-2?adjust_creative=8JX6jG3ozuS17CJIXZZBLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=8JX6jG3ozuS17CJIXZZBLQ,307,4.0,$$,40.709569,-74.0068345,104 Fulton St,,,New York,NY,10038,+16463719773,,left_only
j7NsPKpOQsIHBbBYrBGZQg,Dunkin',https://s3-media3.fl.yelpcdn.com/bphoto/i77Be-lwW5J8cVItvqj4iQ/o.jpg,https://www.yelp.com/biz/dunkin-new-york-78?adjust_creative=8JX6jG3ozuS17CJIXZZBLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=8JX6jG3ozuS17CJIXZZBLQ,11,4.0,$,40.70814,-74.00686,80 John St,,,New York,NY,10038,+12122320020,,left_only
rQpO1Eie_zmeAOQ9s-T0sQ,Hole In The Wall,https://s3-media1.fl.yelpcdn.com/bphoto/KQwNs2HFWF0GDEGoSYgAEg/o.jpg,https://www.yelp.com/biz/hole-in-the-wall-new-york-2?adjust_creative=8JX6jG3ozuS17CJIXZZBLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=8JX6jG3ozuS17CJIXZZBLQ,581,4.5,$$,40.70837,-74.00563,15 Cliff St,,,New York,NY,10038,+12126029991,,left_only
AeDVKiqkdtDrbikeEDrq9Q,Feed Your Soul Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/1l-uwTUdO1iagW66qFg3VQ/o.jpg,https://www.yelp.com/biz/feed-your-soul-cafe-new-york?adjust_creative=8JX6jG3ozuS17CJIXZZBLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=8JX6jG3ozuS17CJIXZZBLQ,11,4.0,$$,40.70745,-74.01104,14 Wall St,,,New York,NY,10005,+12012040720,,left_only
uQ4HZzNarBBNcTKZSIY-vA,Black Fox Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/JDMHFi9GJcDX5egiUxvuUg/o.jpg,https://www.yelp.com/biz/black-fox-coffee-new-york?adjust_creative=8JX6jG3ozuS17CJIXZZBLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=8JX6jG3ozuS17CJIXZZBLQ,198,4.0,$$,40.7063449,-74.0076944,70 Pine St,,,New York,NY,10005,+19177420133,,left_only
LjHUOXB3Iw_l7NXW_nClqA,Fairfield Inn by Marriott New York Manhattan/Financial District,https://s3-media4.fl.yelpcdn.com/bphoto/vHfMZrm4nmFyjsJgHkgbLA/o.jpg,https://www.yelp.com/biz/fairfield-inn-by-marriott-new-york-manhattan-financial-district-new-york?adjust_creative=8JX6jG3ozuS17CJIXZZBLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=8JX6jG3ozuS17CJIXZZBLQ,70,4.0,$$,40.705911,-74.004993,161 Front St,,,New York,NY,10038,+12128260001,,left_only
_CBj4pv-I9hbiq35LFoNJg,Bluestone Lane,https://s3-media2.fl.yelpcdn.com/bphoto/noafxdBXJKbFBuhxowZ7gw/o.jpg,https://www.yelp.com/biz/bluestone-lane-new-york-13?adjust_creative=8JX6jG3ozuS17CJIXZZBLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=8JX6jG3ozuS17CJIXZZBLQ,68,4.0,$,40.7047584413614,-74.0085431188345,90 Water St,,,New York,NY,10005,+17183746858,,left_only
