id,name,image_url,url,review_count,rating,price,address1,address2,address3,city,state,zip_code,phone
b6jOwyX4iaagw8YjXqq1sA,Antonio's Trattoria,https://s3-media3.fl.yelpcdn.com/bphoto/VnG_keQUb8r3ImEx4iInMw/o.jpg,https://api.yelp.com/v3/businesses/search,806,4.5,$$,2370 Belmont Ave,,,Bronx,NY,10458,+17187336630
XzUW9MvEGOFs9_aNj11j2Q,Dinosaur Bar-B-Que,https://s3-media1.fl.yelpcdn.com/bphoto/YWMehMtfQu57zztvCNr3jQ/o.jpg,https://api.yelp.com/v3/businesses/search,3077,4.0,$$,700 W 125th St,,,Harlem,NY,10027,+12126941777
Dwg-RgHUXsBfAi7G0V8LIg,Green Juice Cafe,https://s3-media4.fl.yelpcdn.com/bphoto/dHF2qESxWSTOvF5KhVw_NQ/o.jpg,https://api.yelp.com/v3/businesses/search,201,5.0,$,4316 Broadway,,,New York,NY,10033,+16469187730
tLZfepIfSf0a80zHQTbTGQ,Trattoria Zero Otto Nove,https://s3-media2.fl.yelpcdn.com/bphoto/lvghehU8tD0cYZgOmxbLWQ/o.jpg,https://api.yelp.com/v3/businesses/search,772,4.0,$$,2357 Arthur Ave,,,Bronx,NY,10458,+17182201027
HVeQNs_7zh3m-xCZ1ugslA,Beans and Vines,https://s3-media4.fl.yelpcdn.com/bphoto/8AdkldO-LZse62R2O8HTnw/o.jpg,https://api.yelp.com/v3/businesses/search,421,4.0,$$,4799 Broadway,,,Inwood,NY,10034,+16469280209
2IrwjU67gguqLqQqZ1nFPg,Guadalupe Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/gJAWEJ_wiiCIJ3SsNW8jCA/o.jpg,https://api.yelp.com/v3/businesses/search,673,4.0,$$,597 W 207th St,,,New York,NY,10034,+12123041083
Hoq8s-NePq6_3QxJhR7oNA,Bocaditos Bistro,https://s3-media1.fl.yelpcdn.com/bphoto/-rzuHrKlNn88bi0q2ZZMNg/o.jpg,https://api.yelp.com/v3/businesses/search,402,4.0,$$,4863 Broadway,,,New York,NY,10034,+16466494212
krx3qFc0QFRqLL3fyscJSQ,Cachapas y mas,https://s3-media1.fl.yelpcdn.com/bphoto/UdWx1FIohr0Se9yLV2Yv2w/o.jpg,https://api.yelp.com/v3/businesses/search,355,4.0,$,107 Dyckman St,,,New York,NY,10040,+12123042224
hw8ziubXsFocun6KR04VVg,Malecon Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/Rbb6T8028Zy6_gEo-A1HIA/o.jpg,https://api.yelp.com/v3/businesses/search,711,4.0,$$,4141 Broadway,,,New York,NY,10033,+12129273812
80dIz6llWEew4No641ZQKQ,Burger Heights,https://s3-media1.fl.yelpcdn.com/bphoto/axviiJYXAFkpC4vqSth4ig/o.jpg,https://api.yelp.com/v3/businesses/search,409,4.0,$,177 Wadsworth Ave,,,New York,NY,10033,+12129511984
NNvdMOswZuJ0UUtpP1ievw,Casa Della Mozzarella Italian Deli,https://s3-media2.fl.yelpcdn.com/bphoto/c0t2EMrrxCH18vM-X1n82Q/o.jpg,https://api.yelp.com/v3/businesses/search,177,5.0,$$,604 E 187th St,,,Bronx,NY,10458,+17183643867
C3spvfEd8JQJie-yixRgpQ,Com Tam Ninh Kieu,https://s3-media1.fl.yelpcdn.com/bphoto/e0yxD8a1EELQIBHhcwvo8Q/o.jpg,https://api.yelp.com/v3/businesses/search,407,4.0,$$,2641 Jerome Ave,,,Bronx,NY,10468,+17184503833
7lv8jYYurEBFRglhPYALkw,Tampopo Ramen,https://s3-media1.fl.yelpcdn.com/bphoto/EOoVXDWqNeVouY_hjwOeMg/o.jpg,https://api.yelp.com/v3/businesses/search,400,4.0,$$,1 Bennett Ave,,,New York,NY,10033,+12129230575
cyLw0vW5MrsF35-A6Dy03w,Saggio,https://s3-media1.fl.yelpcdn.com/bphoto/lJ1vpf_f2aI-b8FkPdv-lA/o.jpg,https://api.yelp.com/v3/businesses/search,615,4.0,$$,829 W 181st St,,,New York,NY,10033,+12127953080
t1_qBEjXscQn-mp6-or_sw,Suyo Gastrofusion,https://s3-media3.fl.yelpcdn.com/bphoto/X59QG2TB3CMg9H-UxoFXkg/o.jpg,https://api.yelp.com/v3/businesses/search,174,4.5,$$,1401 Plaza Dr,,,Bronx,NY,10452,+17185377896
zWem2SAbFc7lIYR2y9DE0g,Harlem Public,https://s3-media2.fl.yelpcdn.com/bphoto/qcYD7KI9sC6gdunBfURA7Q/o.jpg,https://api.yelp.com/v3/businesses/search,973,4.0,$$,3612 Broadway,,,New York,NY,10031,+12129399404
5gcrlif2enGxj7eKAoz-5g,Terravita,https://s3-media1.fl.yelpcdn.com/bphoto/bKFNofkpDfK4vKFGMV8piQ/o.jpg,https://api.yelp.com/v3/businesses/search,187,4.5,$$,4193 Broadway,,,New York,NY,10033,+16463704371
ciHt5n5rmpby1YcC_6JVrg,Bronx Alehouse,https://s3-media2.fl.yelpcdn.com/bphoto/6FQ3Ej0DroZKwmAYclZkeA/o.jpg,https://api.yelp.com/v3/businesses/search,799,4.0,$$,216 W 238th St,,,Bronx,NY,10463,+17186010204
zZpuUqF0iENnyYd2UYIX6w,Locksmith Bar,https://s3-media2.fl.yelpcdn.com/bphoto/BzUG-2a_fGkRILM7PbFNDQ/o.jpg,https://api.yelp.com/v3/businesses/search,377,4.0,$$,4463 Broadway,,,New York,NY,10040,+12123049463
wZkZmjZEJDraLJgAalnHvA,Pisticci,https://s3-media1.fl.yelpcdn.com/bphoto/_6myAQed_JR0PaIBfyCi5g/o.jpg,https://api.yelp.com/v3/businesses/search,865,4.0,$$,125 La Salle St,,,New York,NY,10027,+12129323500
ykXZyQBXxoOMoZfaZMnHmg,Tryon Public House,https://s3-media4.fl.yelpcdn.com/bphoto/fTrQldH6ywmsNWIoj2rVYg/o.jpg,https://api.yelp.com/v3/businesses/search,386,4.0,$$,4740 Broadway,,,New York,NY,10040,+16469187129
9wrSQVOzd-Jxa9wPltjVCw,Pocion,https://s3-media4.fl.yelpcdn.com/bphoto/1y6exz_be5Qt0Xj4Zu_yfA/o.jpg,https://api.yelp.com/v3/businesses/search,166,4.5,$$,704 W 177th St,,,New York,NY,10033,+19174727336
GSTNeRXsT8CWImXzrBnP-g,Pizza Palace,https://s3-media3.fl.yelpcdn.com/bphoto/Fcqlfjg2SwFZAPb2yC-b_g/o.jpg,https://api.yelp.com/v3/businesses/search,122,4.5,$,121 Dyckman St,,,New York,NY,10034,+12125679588
rUBFgZU3QTk7IOgpccE8Og,Indian Road Cafe,https://s3-media3.fl.yelpcdn.com/bphoto/pggH1zZpKex-eN-Zhf9hpw/o.jpg,https://api.yelp.com/v3/businesses/search,618,4.0,$$,600 W 218th St,,,New York,NY,10034,+12129427451
CY1lJBQatCNo4-_ljlS1rA,Unique Fusion Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/DasxOMZ07L0urMMNjg9YGg/o.jpg,https://api.yelp.com/v3/businesses/search,61,5.0,$$,586 West 207 St,,,New York,NY,10034,+12124519556
dC-EC1dZnr40MKnHPx-PIg,Patacon Pisao Truck,https://s3-media3.fl.yelpcdn.com/bphoto/q4BC7wdYrD6E1uQY1xde2A/o.jpg,https://api.yelp.com/v3/businesses/search,83,4.5,$,431 W 202nd St,,,Washington Heights,NY,10034,+19179719828
59hEst-eXa_psEtiZMLU6A,Joe's Italian Deli,https://s3-media4.fl.yelpcdn.com/bphoto/Ko7VMNsNIeCWn1mGjtD_5Q/o.jpg,https://api.yelp.com/v3/businesses/search,128,5.0,$$,685 E 187th St,,,Bronx,NY,10458,+17183677979
Pfjb9Rn5Th7R-pLXVARwlA,Jin Ramen - West Harlem,https://s3-media2.fl.yelpcdn.com/bphoto/6gZdziyVJ2P8kiqmDkWjng/o.jpg,https://api.yelp.com/v3/businesses/search,1078,4.0,$$,3183 Broadway,,,New York,NY,10027,+16465592862
LIsCe_l7kUlv2cUs6AxNQQ,SUROSS Thai Bistro,https://s3-media1.fl.yelpcdn.com/bphoto/GO67y3c8HH3ZN6DcNyE7sw/o.jpg,https://api.yelp.com/v3/businesses/search,189,4.5,$,4131 Broadway,,,New York,NY,10033,+12127950792
Qq_YecqcQ8dhC1P-SWXPOQ,809 Sangria Bar & Grill,https://s3-media1.fl.yelpcdn.com/bphoto/de7NWlP_84qmVgJTA-T1hg/o.jpg,https://api.yelp.com/v3/businesses/search,225,4.0,$$,112 Dyckman St,,,New York,NY,10040,+12123043800
C69uTzoWFaIWcpnYf2LbRw,ROKC,https://s3-media4.fl.yelpcdn.com/bphoto/zksWhgVN20oFxPmDMqJyYg/o.jpg,https://api.yelp.com/v3/businesses/search,420,4.5,$$,3452 Broadway,,,New York,NY,10031,+13322178755
fyVLkWQ5CP5q1yP8nnsj5g,Salsa Con Fuego,https://s3-media2.fl.yelpcdn.com/bphoto/yYDupJduz2HT_KOBZbFHlg/o.jpg,https://api.yelp.com/v3/businesses/search,680,3.0,$$,2297 Cedar Ave,,,Bronx,NY,10468,+17185616161
ej_pg-wc-ZtexQKPPiQ_5w,The Edge Harlem,https://s3-media2.fl.yelpcdn.com/bphoto/WZBo8DAj3BjR2y4MmyMf9A/o.jpg,https://api.yelp.com/v3/businesses/search,620,4.0,$$,101 Edgecombe Ave,,,New York,NY,10030,+12129399688
Sq_rG-TCyxnajp6jae89SA,Manolo Tapas,https://s3-media1.fl.yelpcdn.com/bphoto/WWlj7DCL81tsOrXQ3l0lfQ/o.jpg,https://api.yelp.com/v3/businesses/search,272,4.0,$$,4165 Broadway,,,New York,NY,10033,+12129239100
qwUPVBeV6oLdiCKHQvru5w,Tasty Deli,https://s3-media3.fl.yelpcdn.com/bphoto/Zk1zoxMCjzYNcf9dfR7VzA/o.jpg,https://api.yelp.com/v3/businesses/search,280,4.0,$,4020 Broadway,,,New York,NY,10032,+12129230700
NJoZ9hHepDa5WmcRH2rczA,Mike's Deli Arthur Avenue,https://s3-media1.fl.yelpcdn.com/bphoto/6Du0s-Tms4TqUVXPChe9Yw/o.jpg,https://api.yelp.com/v3/businesses/search,233,4.0,$$,2344 Arthur Ave,,,Bronx,NY,10458,+17182955033
FAUMdhzoesC3PEp0b1ujBg,Broadyke Meat Market,https://s3-media1.fl.yelpcdn.com/bphoto/OVBqi-3SMOJ8e2qspVqkiQ/o.jpg,https://api.yelp.com/v3/businesses/search,83,4.5,$$,4767 Broadway,,,New York,NY,10034,+12125693470
45hQHMdFxw0mh7ZTU--cDQ,The Grange Bar and Eatery,https://s3-media2.fl.yelpcdn.com/bphoto/8FMkk4ijuGkEPJ5cOX2zCg/o.jpg,https://api.yelp.com/v3/businesses/search,837,4.0,$$,1635 Amsterdam Ave,,,New York,NY,10031,+12124911635
3uyBZNbDk2vRFBBWZOdIUA,Dominick's Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/Hue6R4lk2vL6zC49VReQTg/o.jpg,https://api.yelp.com/v3/businesses/search,347,4.0,$$,2335 Arthur Ave,,,Bronx,NY,10458,+17187332807
vWa8iPUYDGAMSBCqMwJylQ,MangiPasta,https://s3-media3.fl.yelpcdn.com/bphoto/7_jlmWyWCMqPgU48p3Hkdg/o.jpg,https://api.yelp.com/v3/businesses/search,99,4.5,$$,608 E 187th St,,,Bronx,NY,10458,+17189330100
NebgteFykeM1gwiVgPcCHw,The Handpulled Noodle,https://s3-media2.fl.yelpcdn.com/bphoto/zk3hE3qrROv4_UAekmmzlQ/o.jpg,https://api.yelp.com/v3/businesses/search,745,4.0,$$,3600 Broadway,Ste 3,,New York,NY,10031,+19172620213
DCjRqV6kRPU0h-MaRRcVrQ,Inwood Bar and Grill,https://s3-media2.fl.yelpcdn.com/bphoto/rDWR7MQFZTKTUhJpOnh9rQ/o.jpg,https://api.yelp.com/v3/businesses/search,439,3.5,$$,4892 Broadway,,,New York,NY,10034,+12123043704
n9NAUB6ivkk45bUz3nm2AA,Grito Mexican Grill,https://s3-media4.fl.yelpcdn.com/bphoto/Yh6F4jM5us_IbpKUd0Eyww/o.jpg,https://api.yelp.com/v3/businesses/search,186,4.0,$$,1555 Saint Nicholas Ave,,,New York,NY,10040,+12127950700
LlSSa98PQUM8gsnam9lPPQ,La Cabana Salvadoreña,https://s3-media3.fl.yelpcdn.com/bphoto/g_6YXwcfFQWBDoC44QZmXg/o.jpg,https://api.yelp.com/v3/businesses/search,135,4.0,$,4384 Broadway,,,New York,NY,10040,+12129287872
Z0YgJYJS47WdpbmRWOGsEA,Bella Pizza,https://s3-media2.fl.yelpcdn.com/bphoto/bm7egZgdaPq8QpCyl_ApxA/o.jpg,https://api.yelp.com/v3/businesses/search,80,4.5,$,19 W Fordham Rd,,,Bronx,NY,10468,+17188727206
KAxYFGyOQ7ysCmYmh8jKtw,The Bronx Public,https://s3-media4.fl.yelpcdn.com/bphoto/TFMIaPBNzgxTxdL9g66ojw/o.jpg,https://api.yelp.com/v3/businesses/search,474,4.0,$$,170 W 231st St,,,Bronx,NY,10463,+17187086447
zQjaTAxYSKpNNj0F4kgjXQ,Chicken Ranch,https://s3-media2.fl.yelpcdn.com/bphoto/2SkyuwSXBidMupQeTEQ0yg/o.jpg,https://api.yelp.com/v3/businesses/search,89,4.5,$$,315 Audubon Ave,,,New York,NY,10033,+16469228564
